,ID GS1,Clacom,Nombre Clacom,Nombre GS1,
,,3130503,MUEBLES AUXILIARES DE BANO,,
,10002184,313050301,ANAQUELES/REPISAS, Unidades de estanterías de oficina/uso doméstico,
,10002118,313050302,CAJONERAS, Guardaropas de oficina/uso doméstico/taquillas,
,10002184,313050303,MUEBLES SOBREINODORO, Unidades de estanterías de oficina/uso doméstico,
,10002184,313050304,ALACENAS, Unidades de estanterías de oficina/uso doméstico,
,10003790,313050305,OTROS MUEBLES, Otros tipos de mobiliario de exposición/almacenamiento para oficinas/uso doméstico,
,,31306,TINAS,,
,,3130601,TINAS,,
,10002595,313060101,ACERO ESMALTADO, Bañeras – Remojo,
,10002595,313060102,ACRILICO, Bañeras – Remojo,
,10002595,313060103,FIBRA DE VIDRIO, Bañeras – Remojo,
,,3130602,HIDROMASAJE,,
,10002596,313060201,HIDROMASAJES RECTANGULAR, Bañeras – A chorro (Baños calientes/Spas),
,10002596,313060202,HIDROMASAJES ESQUINERA, Bañeras – A chorro (Baños calientes/Spas),
,10002596,313060203,HIDROMASAJES REDONDAS, Bañeras – A chorro (Baños calientes/Spas),
,,3130603,RECEPTACULOS/DUCHA,,
,10002599,313060301,ACERO ESMALTADO, Platos/suelos de ducha,
,10002599,313060302,ACRILICO, Platos/suelos de ducha,
,10002599,313060303,FIBRA DE VIDRIO, Platos/suelos de ducha,
,,31307,CABINAS Y DIVISIONES,,
,,3130701,SHOWERS / DIVISIONES DE BANO,,
,10002601,313070101,SHOWERS DOOR/DIVISIONES/CANCELES PARA TINAS, Paneles de mampara para bañeras/duchas,
,10002600,313070102,SHOWERS DOOR/DIVISIONES/CANCELES PARA DUCHA/REGADE, Mampara para bañeras/duchas,
,10006961,313070103,OTROS, Accesorios de baño,
,,3130702,COLUMNAS,,
,10002590,313070201,COLUMNAS SIN JET, Módulos de bañera/ducha,
,10002602,313070202,COLUMNAS CON JET, Grifos/llaves,
,,3130703,CABINAS Y SPA,,
,10002597,313070301,CABINAS DUCHA/REGADERA, Reservado/suites para duchas,
,10002597,313070302,CABINAS MAS COLUMNA, Reservado/suites para duchas,
,10002596,313070303,SPA/SAUNA, Bañeras – A chorro (Baños calientes/Spas),
,,31308,EXTRACTORES AIRE,,
,,3130801,EXTRACTORES,,
,10003998,313080101,EXTRACTORES DE PARED, Ventilador – Extractor,
,10003998,313080102,EXTRACTORES DE TECHO, Ventilador – Extractor,
,10003998,313080103,EXTRACTORES INDUSTRIALES, Ventilador – Extractor,
,,31309,MUEBLES COCINA,,
,,3130901,MESONES DE COCINA,,
,10006731,313090101,GRANITO, Encimera (superficie de trabajo horizontal),
,10006731,313090102,MARMOL, Encimera (superficie de trabajo horizontal),
,10006731,313090103,QUARZO, Encimera (superficie de trabajo horizontal),
,10006731,313090104,OTROS MATERIALES NATURALES, Encimera (superficie de trabajo horizontal),
,10006731,313090105,OTROS MATERIALES SINTETICOS, Encimera (superficie de trabajo horizontal),
,10006731,313090106,LAMINADOS Y POSTFORMADOS, Encimera (superficie de trabajo horizontal),
,10006731,313090107,ACERO INOXIDABLE, Encimera (superficie de trabajo horizontal),
,,3130902,MUEBLES AUXILIARES COCINA,,
,10005199,313090201,MUEBLES BASE, Expositores/armarios de oficina/uso doméstico,
,10005199,313090202,MUEBLES ALACENAS Y GABINETES, Expositores/armarios de oficina/uso doméstico,
,10005199,313090203,MUEBLES COMPLEMENTOS, Expositores/armarios de oficina/uso doméstico,
,10002593,313090204,KIT DE COCINA LAVAPLATOS/TARJAS, Combinaciones de lavabo/base,
,10005199,313090205,COLUMNAS, TORRES Y MUEBLES A PISO,
,,3130903,COCINA TIPO RTA,,
,10005199,313090301,MUEBLE DE COCINA RTA BASE, Expositores/armarios de oficina/uso doméstico,
,10005199,313090302,MUEBLES DE COCINA RTA ALACENAS Y GABINETES, Expositores/armarios de oficina/uso doméstico,
,10005199,313090303,MUEBLES RTA COMPLEMENTOS, Expositores/armarios de oficina/uso doméstico,
,10002191,313090304,COMBO COCINA, Paquetes variados de mamparas/mobiliario de exposición/almacenamiento para oficinas/uso doméstico,
,,3130904,COCINAS SEMI CUSTOM/A MEDIDA,,
,10005199,313090401,COCINAS SEMI CUSTOM, Expositores/armarios de oficina/uso doméstico,
,10005098,313090402,COCINAS A MEDIDA, Mobiliario de exposición/almacenamiento para oficinas/uso doméstico – Componentes/recambios,
,10005199,313090403,MUEBLE BASE CON PUERTAS, Expositores/armarios de oficina/uso doméstico,
,10005199,313090404,MUEBLE ALACENA CON PUERTAS, Expositores/armarios de oficina/uso doméstico,
,,3130905,INTERIORES DE MUEBLES COCINA,,
,10005098,313090501,ACCESORIOS ORGANIZACION COCINA INTERIOR, Mobiliario de exposición/almacenamiento para oficinas/uso doméstico – Componentes/recambios,
,10005098,313090502,ACCESORIOS ORGANIZACION COCINA EXTERIORES (MURO), Mobiliario de exposición/almacenamiento para oficinas/uso doméstico – Componentes/recambios,
,,31310,LAVAPLATOS,,
,,3131001,LAVAPLATO ACERO INOXIDABLE,,
,10002592,313100101,LAVAPLATOS/PIAS/TARJAS SOBREPONER SIMPLES, Lavabos/lavamanos,
,10002592,313100102,LAVAPLATOS/PIAS/TARJAS SOBREPONER DOBLES, Lavabos/lavamanos,
,10002592,313100103,LAVAPLATOS/PIAS/TARJAS EMPOTRADOS SIMPLES, Lavabos/lavamanos,
,10002592,313100104,LAVAPLATOS/PIAS/TARJAS EMPOTRADOS DOBLE, Lavabos/lavamanos,
,10002592,313100105,LAVAPLATOS/PIAS/TARJAS BAJO CUBIERTA SIMPLE, Lavabos/lavamanos,
,10001966,313100106,LAVAPLATOS/PIAS/TARJAS BAJO CUBIERTA DOBLE, Aparatos para lavar artículos de cocina – Accesorios/recambios,
,,3131002,OTROS MATERIALES,,
,10002592,313100201,SINTETICOS, Lavabos/lavamanos,
,10002592,313100202,PIEDRAS NATURALES, Lavabos/lavamanos,
,10002592,313100203,OTROS, Lavabos/lavamanos,
,,31311,LAVARROPAS/LAVADERO,,
,,3131101,LAVARROPAS/LAVADERO,,
,10002592,313110101,LAVADERO PLASTICO, Lavabos/lavamanos,
,10002592,313110102,LAVADERO ACERO, Lavabos/lavamanos,
,10002592,313110103,LAVADERO PIEDRA, Lavabos/lavamanos,
,10002592,313110104,LAVADERO LOZA, Lavabos/lavamanos,
,10002592,313110105,LAVADERO MARMOLINA/RESINA, Lavabos/lavamanos,
,10002609,313110106,MUEBLES Y PEDESTALES PARA LAVADEROS, Pedestales para lavabo/lavamanos,
,10002614,313110107,KIT LAVADERO CON MUEBLES, Paquetes variados de productos de higiene,
,10002592,313110108,LAVADEROS OTROS MATERIALES, Lavabos/lavamanos,
,,31312,CALEFONES/CALENTADORES/TERMAS,,
,,3131201,ACUMULACION/TERMOTANQUES/TERMAS,,
,10002658,313120101,TERMOTANQUES/CALENTADORES ELECTRICOS DE 10A30 LTS, Calderas/termos/calentadores de depósitos de agua para viviendas,
,10002658,313120102,TERMOTANQUES/CALENTADORES ELECTRICOS DE 30A50 LTS, Calderas/termos/calentadores de depósitos de agua para viviendas,
,10002658,313120103,TERMOTANQUES/CALENTADORES ELECTRICOS DE 50 A 80LTS, Calderas/termos/calentadores de depósitos de agua para viviendas,
,10002658,313120104,TERMOTANQUES/CALENTADORES ELECTRICOS DE 80A120LTS, Calderas/termos/calentadores de depósitos de agua para viviendas,
,10002658,313120105,TERMOTANQUES/CALENTADORES ELECTRICOS DE 120A150LTS, Calderas/termos/calentadores de depósitos de agua para viviendas,
,10002658,313120106,TERMOTANQUES/CALENTADORES ELECTRICOS DE 150 EN ADE, Calderas/termos/calentadores de depósitos de agua para viviendas,
,10002658,313120107,TERMOTANQUES/CALENTADORES GAS DE 0 A 30LTS, Calderas/termos/calentadores de depósitos de agua para viviendas,
,10002658,313120108,TERMOTANQUES/CALENTADORES GAS DE 30 A 50LTS, Calderas/termos/calentadores de depósitos de agua para viviendas,
,10002658,313120109,TERMOTANQUES/CALENTADORES GAS DE 50 A 80LTS, Calderas/termos/calentadores de depósitos de agua para viviendas,
,10002658,313120110,TERMOTANQUES/CALENTADORES GAS DE 80 A 120LTS, Calderas/termos/calentadores de depósitos de agua para viviendas,
,10002658,313120111,TERMOTANQUES/CALENTADORES GAS DE 120 A 150LTS, Calderas/termos/calentadores de depósitos de agua para viviendas,
,10002658,313120112,TERMOTANQUES/CALENTADORES GAS DE 150 EN ADELANTE, Calderas/termos/calentadores de depósitos de agua para viviendas,
,10002658,313120113,TERMOTANQUES/CALENTADORES SOLARES, Calderas/termos/calentadores de depósitos de agua para viviendas,
,10005875,313120114,PANEL SOLAR, Centrales solares,
,10002658,313120115,ACCESORIOS TERMOS/CALENTADORES, Calderas/termos/calentadores de depósitos de agua para viviendas,
,,3131202,CALEFONES,,
,10005479,313120201,CALEFON/CALENTADOR PASO A GAS 5Y6 LTS/TIRO FORZADO, Calentadores de agua sin depósito,
,10005479,313120202,CALEFON/CALENTADOR PASO A GAS 7Y8 LTS/TIRO FORZADO, Calentadores de agua sin depósito,
,10005479,313120203,CALEFON/CALENT PASO A GAS 10Y11 LTS/TIRO FORZADO, Calentadores de agua sin depósito,
,10005479,313120204,CALEFON/CALENT PASO A GAS 13 Y 14 LTS/TIRO FORZADO, Calentadores de agua sin depósito,
,10005479,313120205,CALEFON/CALENTADOR PASO A GAS 16 O MAS/TIRO FORZAD, Calentadores de agua sin depósito,
,10007005,313120206,ACCESORIOS CALEFON/CALENTADOR DE PASO, Piezas de repuesto / Accesorios de Calderas domésticas / Hornos / Calentadores de agua de tanque,
,10005479,313120207,CALEFONES/CALENTADOR ELECTRICOS HASTA 20LTS, Calentadores de agua sin depósito,
,10005479,313120208,CALEFONES/CALENTADOR ELECTRICOS MAS DE 20LTS, Calentadores de agua sin depósito,
,10005479,313120209,CALEFON/CALENTADOR A GAS 5 Y 6 LTS/TIRO NATURAL, Calentadores de agua sin depósito,
,10005479,313120210,CALEFON/CALENTADOR A GAS 7 Y 8 LTS/TIRO NATURAL, Calentadores de agua sin depósito,
,10005479,313120211,CALEFON/CALENTADOR A GAS 10 Y 11 LTS/TIRO NATURAL, Calentadores de agua sin depósito,
,10005479,313120212,CALEFON/CALENTADOR A GAS 13 Y 14 LTS/TIRO NATURAL, Calentadores de agua sin depósito,
,10005479,313120213,CALEFON/CALENTADOR A GAS 16 O MAS/TIRO NATURAL, Calentadores de agua sin depósito,
,,3131203,DUCHAS ELECTRICAS,,
,10005479,313120301,DUCHAS/REGADERAS INSTANTANEAS ELECTRICAS, Calentadores de agua sin depósito,
,10005479,313120302,DUCHAS/REGADERAS INSTANTANEAS RAPIDUCHAS, Calentadores de agua sin depósito,
,10007005,313120303,RESISTENCIAS, Piezas de repuesto / Accesorios de Calderas domésticas / Hornos / Calentadores de agua de tanque,
,10006961,313120304,BRAZO DE DUCHAS /REGADERAS INSTANTANEAS, Accesorios de baño,
,10006961,313120305,OTROS ACCESORIOS DE DUCHAS/REGADERAS, Accesorios de baño,
,,31350,INSTALACIONES Y VTA DIRECTA BANOS,,
,,3135007,PRODUCTO VENTA DIRECTA BANOS,,
,,313500701,VENTA DIRECTA R.CONJUNTA BANOS,,
,,313500702,VENTA DIRECTA R.CONJUNTA COCINAS,,
,,3135010,INST BANOS,,
,,313501001,INST SANITARIOS,,
,,313501002,INST GRIFERIA,,
,,313501003,INST ACCESORIOS DE BANO,,
,,313501004,INST VANITORIO / MUEBLE BANO,,
,,313501005,INST TINAS,,
,,313501006,INST CABINAS / SHOWERS,,
,,313501007,INST SAUNA,,
,,313501008,INST COLUMNA DUCHA,,
,,313501009,INST PROYECTO BANO,,
,,313501010,INST CUBIERTA GRANITO BANO B3,,
,,313501011,INST SHOWER DOOR B3,,
,,313501012, INST. BANO VE,,
,,313501013, INST. SAUNA VE,,
,,313501014,INST. ESPEJOS B3,,
,,313501015,INST CUBIERTA MARMOL BANO B3,,
,,313501016, INST ARTEFACT/ACCES BANO,,
,,313501017,INST CUBIERTA CUARZO BANO B3,,
,,313501018,INST CUBIERTA POLIMERO BANO B3,,
,,3135011,INST COCINA,,
,,313501101,INST MUEBLES DE COCINA,,
,,313501102,INST MUEBLES DE COCINA VE,,
,,313501103,INST CUBIERTAS,,
,,313501104,INST VISITAS PROYECTOS / DISENO,,
,,313501105,INST CUBIERTA GRANITO COCINA B3,,
,,313501106,INST CUBIERTA POLIMERO COCINA B3,,
,,313501107,INST CUBIERTA CUARZO COCINA  B3,,
,,313501108,INST MUEBLES DE COCINA B3,,
,,313501109, INST CUBIERTAS VE,,
,,313501110, INST ARTEFACT/ACCES COCINA,,
,,313501111,INST GRIFERIA COCINA,,
,,3135012,INST CALEFONES,,
,,313501201,INST CALEFONES,,
,,313501202,INST TERMOS,,
,,313501203, INST CALEFON/TERMOS VE,,
,,313501204,MANTENCION CALEFON,,
,,3135013,INST SISTEMAS SOLAR,,
,,313501301,INST TERMOSIFONES,,
,,3135014,INST CALDERAS,,
,,313501401,INST CALEFACCION CENTRAL B3,,
,,313501402, INST CALEFACCION CENTRAL VE,,
,,3135020,GARANTIA EXTENDIDA BANO,,
,,313502001,GE EXTRACTORES,,
,,313502002,GE TINAS,,
,,313502003,GE WC,,
,,3135021,GARANTIA EXTENDIDA CALEFON,,
,,313502101,GE CALEFONES,,
,,313502102,GE CALENTADORES,,
,,3135030,SERVICIO DIMENSIONADO Y CORTE,,
,,313503001,SERVICIO DIMENSIONADO MESON COCINAS,,
,,31313,GRIFERIA COCINA,,
,,3131301,GRIFERIA COCINA,,
,10002602,313130101,SENCILLA/LLAVE DE COCINA A LA PARED, Grifos/llaves,
,10002602,313130102,SENCILLA/LLAVE DE COCINA AL MUEBLE, Grifos/llaves,
,10002602,313130103,MEZCLADORA A LA PARED, Grifos/llaves,
