Name;Level;ID_GPC;ID_PIM
Anticongelante para automóviles;Level 3;77015100;77015100
Anticongelante/líquido refrigerante (Automóviles);Level 4;10005234;10005234
Productos antirrobo para automóviles;Level 3;77013500;77013500
Productos antirrobo – Otros;Level 4;10003009;10003009
Alarmas para coche/alarmas antielevación;Level 4;10003004;10003004
Inmobilizadores (Automóviles);Level 4;10005241;10005241
Dispositivos de bloqueo;Level 4;10003755;10003755
Dispositivos de seguimiento;Level 4;10003008;10003008
Productos químicos para el exterior de automóviles;Level 3;77010400;77010400
Químicos de aspecto- Otros (Automóviles);Level 4;10002776;10002776
Paquetes variados de químicos de aspecto (Automóviles);Level 4;10002777;10002777
Pintura automotriz;Level 4;10006378;10006378
Cuidado de chasis de coches – Limpiadores/ceras/protectores/quitamanchas;Level 4;10002767;10002767
Kit de limpieza para el interior del coche;Level 4;10006375;10006375
Cuidado de neumáticos de coches – Limpiadores/espumas/abrillantadores;Level 4;10002764;10002764
Cuidado de volante de coches – Limpiadores/abrillantadores;Level 4;10002773;10002773
Preparación de parabrisas de coches (Automóviles);Level 4;10002757;10002757
Accesorios de apariencia/fragancia de automóviles;Level 3;77012900;77012900
Ambientadores de aire – No eléctricos (Automóviles);Level 4;10003753;10003753
Ambientadores de aire – No eléctricos (Automóviles);Level 4;10003752;10003752
Accesorios de apariencia/fragancia – Otros;Level 4;10002949;10002949
Paquetes variados de accesorios de aspecto/fragancia (Automóviles);Level 4;10002950;10002950
Aspecto/fragancia de automóviles – Accesorios/piezas de repuesto;Level 4;10005127;10005127
Aplicadores/cepillos de automóviles;Level 4;10005249;10005249
Pulidoras/gamuzas (Automóviles);Level 4;10002944;10002944
Rasqueta de hielo (Automóviles);Level 4;10003757;10003757
Sistemas de lavado – Eléctricos (Automóviles);Level 4;10002940;10002940
Baterías para automóviles;Level 3;77015000;77015000
Baterías (Automóviles);Level 4;10005232;10005232
Accesorios de baterías (Automóviles);Level 4;10005233;10005233
Cables de emergencia;Level 4;10006383;10006383
Motor de arranque;Level 4;10006382;10006382
Reparación de la carrocería del automóvil;Level 3;77010200;77010200
Paquetes variados de reparación de chasis de automóviles;Level 4;10003834;10003834
Tapón/parche de cuerpo;Level 4;10002713;10002713
Reparación del chasis (Automóviles);Level 4;10003761;10003761
Pintura de líneas (Automóviles);Level 4;10002728;10002728
Reductores/Retardadores (Automóviles);Level 4;10002723;10002723
Piezas de recambio de moldes/molduras (Automóviles);Level 4;10002726;10002726
Preparados para reparaciones plásticas/relleno de arañazos (Automóviles);Level 4;10002720;10002720
Tira de protección atmosférica (Automóviles);Level 4;10002727;10002727
Frenos de automóvil;Level 3;77015300;77015300
Disco de freno;Level 4;10006385;10006385
Pinza de disco de freno;Level 4;10006386;10006386
Tambor de freno/Piezas del tambor de freno;Level 4;10006389;10006389
Pastillas/Zapatas de freno;Level 4;10006384;10006384
Kit de frenos de tambor;Level 4;10006387;10006387
Otras piezas para sistemas de frenos;Level 4;10006388;10006388
Gestión de carga de automóviles;Level 3;77010300;77010300
Administración de carga – Piezas/Accesorios de repuesto;Level 4;10005130;10005130
Administración de la carga – Otros (Automóviles);Level 4;10002750;10002750
Rampas/accesorios de rampas para la gestión de la carga (automotriz);Level 4;10005819;10005819
Equipamiento de sujeción de la carga (automotriz);Level 4;10002733;10002733
Portaequipajes/portadores de equipos (Automóviles);Level 4;10002734;10002734
Paquetes de extendedores/parachoques (Automóviles);Level 4;10002743;10002743
Bolsas/cajas de almacenamiento exterior (Automóviles);Level 4;10005128;10005128
Cajas/bandejas/cestos de almacenamiento interior (Automóviles);Level 4;10002748;10002748
Calzos para ruedas (automotriz);Level 4;10005818;10005818
Iluminación decorativa para automóviles;Level 3;77014100;77014100
Iluminación de ambiente (Automóviles);Level 4;10003056;10003056
Iluminación estroboscópica (Automóviles);Level 4;10003055;10003055
Iluminación debajo del vehículo;Level 4;10003054;10003054
Componentes eléctricos para automóviles;Level 3;77014300;77014300
Componentes eléctricos de automóviles – Piezas/Accesorios de repuesto;Level 4;10005131;10005131
Instrumentos de automotrices y sistemas de medición;Level 4;10006846;10006846
Interruptores de automóviles;Level 4;10005132;10005132
Mecheros/adaptadores (Automóviles);Level 4;10003081;10003081
Electricidad – Otros (Automóviles);Level 4;10003084;10003084
Tubo flexible/trenzado de cable (Automóviles);Level 4;10003080;10003080
Fusibles (Automóviles);Level 4;10003067;10003067
Claxon/sirenas (Automóviles);Level 4;10003758;10003758
Clavijas/trenzas (Automóviles);Level 4;10003074;10003074
Accesorios del exterior de automóviles – Cubiertas/protección;Level 3;77012500;77012500
Protector de puertas (Automóviles);Level 4;10002901;10002901
Protector de lentes (Automóviles);Level 4;10002902;10002902
Marcho/protector de matrícula;Level 4;10002903;10002903
Matrículas – Decorativos;Level 4;10002904;10002904
Películas protectoras de pintura (Automóviles);Level 4;10002906;10002906
Fundas de rueda de repuesto;Level 4;10002905;10002905
Guardabarros/guardasalpicaduras;Level 4;10002899;10002899
Cubiertas para vehículos;Level 4;10002900;10002900
Accesorios del exterior de automóviles – Rejillas/parachoques;Level 3;77012300;77012300
Protectores de cepillo/parrilla;Level 4;10002888;10002888
Parachoques;Level 4;10002887;10002887
Parillas decorativas/personalizadas;Level 4;10002890;10002890
Relleno de parrilla;Level 4;10002891;10002891
Barras de empuje/A (Automóviles);Level 4;10002889;10002889
Placas de derrape;Level 4;10002892;10002892
Accesorios del exterior de automóviles – Estribos/escalones laterales;Level 3;77012200;77012200
Escalones extrudidos/ fundidos (Automóviles);Level 4;10002886;10002886
Barras de Nerf/escalón (Automóviles);Level 4;10002885;10002885
Estribos (Automóviles);Level 4;10002884;10002884
Accesorios del exterior de automóviles – Lunas/deflectores;Level 3;77012400;77012400
Protector de capota/bichos (Automóviles);Level 4;10002893;10002893
Carenado de cabina;Level 4;10002898;10002898
Viseras de parabrisas delantero;Level 4;10002894;10002894
Deflector/viseras de ventana trasera/viseras de techo (Automóviles);Level 4;10002896;10002896
Deflector/viseras de ventana lateral;Level 4;10002895;10002895
Deflectores de techo solar;Level 4;10002897;10002897
Accesorios para el exterior de automóviles;Level 3;77012600;77012600
Capó personalizado;Level 4;10002916;10002916
Emblemas/gráficos – Decorativos (Automóviles);Level 4;10002920;10002920
Accesorios de apariencia exterior – Otros (Automóviles);Level 4;10002922;10002922
Guardabarros/guardabarros reflectantes;Level 4;10002914;10002914
Molduras de luz/lentes (Automóviles);Level 4;10002919;10002919
Lumbreras (Automóviles);Level 4;10002913;10002913
tomas de aire/respiraderos (Automóviles);Level 4;10002911;10002911
Molduras/cubiertas de ventana lateral (Automóviles);Level 4;10002915;10002915
Techos solares/techos corredizo/techos extraíbles (Automóviles);Level 4;10002910;10002910
Alerones/spoilers (Automóviles);Level 4;10002912;10002912
